path,public_url,index_state,title,in_sitemap
Berlin.html,https://www.carltravels.com/Berlin.html,index,"Berlin – Carl Travels: Your Ultimate Week in History, Art, and Hedonism",True
DJI-Flip-review.html,https://www.carltravels.com/DJI-Flip-review.html,index,DJI Flip Review 2025: Budget Drone or Toy? - Carl Travels,True
Hagiangloop.html,https://www.carltravels.com/Hagiangloop.html,index,Hà Giang Loop (3D2N) – Easy Rider Motorbike Tour from Hanoi | Carl Travels,True
Hifuinhanoi.html,https://www.carltravels.com/Hifuinhanoi.html,index,Why I Tried HIFU in Vietnam at 40 | Carl Travels,True
about.html,https://www.carltravels.com/about.html,index,About Carl Tomich – Carl Travels,True
affiliate-disclosure.html,https://www.carltravels.com/affiliate-disclosure.html,index,Affiliate Disclosure - Carl Travels,True
aiarty-image-enhancer-review.html,https://www.carltravels.com/aiarty-image-enhancer-review.html,"noindex,follow","Aiarty AI Image Enhancer: Features, Pricing, and Why It Stands Out | Carl Travels",False
aiarty-video-enhancer-review.html,https://www.carltravels.com/aiarty-video-enhancer-review.html,index,AIARTY Video Enhancer Review (2026) + Topaz Video AI Comparison | Carl Travels,True
aiarty-vs-topaz-video-ai.html,https://www.carltravels.com/aiarty-vs-topaz-video-ai.html,"noindex,follow",AIARTY vs Topaz Video AI (2026): Which Video Enhancer Wins? | Carl Travels,False
avangate-verification.html,https://www.carltravels.com/avangate-verification.html,"noindex,follow",Affiliate Verification - Carl Travels,False
balitravelguide.html,https://www.carltravels.com/balitravelguide.html,index,"Bali, Indonesia Travel Guide - Carl Travels",True
becomingadigitalnomad.html,https://www.carltravels.com/becomingadigitalnomad.html,index,Affordable Digital Nomad Bases I Would Actually Consider in 2026 - Carl Travels,True
beginners-guide-davinci-resolve-2025.html,https://www.carltravels.com/beginners-guide-davinci-resolve-2025.html,index,Beginner’s Guide to DaVinci Resolve 2025 (Step-by-Step Tutorial) | Carl Travels,True
best-cafes-in-tay-ho-for-digital-nomads.html,https://www.carltravels.com/best-cafes-in-tay-ho-for-digital-nomads.html,index,Best Cafes in Tay Ho for Digital Nomads | Carl Travels,True
blog/horse-riding-near-hanoi-countryside-experience.html,https://www.carltravels.com/blog/horse-riding-near-hanoi-countryside-experience.html,index,Horse Riding Near Hanoi: A Quiet Countryside Experience | Carl Travels,True
blog/where-to-train-karate-in-okinawa.html,https://www.carltravels.com/blog/where-to-train-karate-in-okinawa.html,index,Where to Train Karate in Okinawa (Starting From Zero) | Carl Travels,True
blog.html,https://www.carltravels.com/blog.html,index,"Blog by Carl Tomich: Travel Filmmaking, Living Abroad, Gear & YouTube Strategy",True
bose-s1pro-plus-vs-everse8-the-best-portable-speaker.html,https://www.carltravels.com/bose-s1pro-plus-vs-everse8-the-best-portable-speaker.html,index,Bose S1 Pro Plus vs Everse 8 (2026): Portable PA Comparison | Carl Travels,True
budvatravelguide.html,https://www.carltravels.com/budvatravelguide.html,index,"Budva, Montenegro Travel Guide - Carl Travels",True
buskingguide.html,https://www.carltravels.com/buskingguide.html,index,The Ultimate Guide to Busking - Carl Travels,True
cairnstravelguide.html,https://www.carltravels.com/cairnstravelguide.html,index,"Cairns Travel Guide – Carl Travels: Your Ultimate Week in Reef, Rainforest, and Adventure",True
cheap-accommodation-while-traveling.html,https://www.carltravels.com/cheap-accommodation-while-traveling.html,index,7 Ways to Find Cheap Accommodation While Traveling - Carl Travels,True
contact.html,https://www.carltravels.com/contact.html,index,Contact Carl Tomich - Carl Travels,True
da-nang-to-hanoi-bus-guide/index.html,https://www.carltravels.com/da-nang-to-hanoi-bus-guide/,index,Da Nang to Hanoi by Sleeper Bus: What to Expect Before You Book | Carl Travels,True
daily-essential-travel-gear.html,https://www.carltravels.com/daily-essential-travel-gear.html,index,My Daily Essential Travel Gear (Filmmaking Kit) | Carl Travels,True
danangtravelguide.html,https://www.carltravels.com/danangtravelguide.html,index,"Da Nang, Vietnam Travel Guide - Carl Travels",True
dating-in-vietnam.html,https://www.carltravels.com/dating-in-vietnam.html,index,Dating in Vietnam: An Honest Guide for Expats & Nomads - Carl Travels,True
destinations.html,https://www.carltravels.com/destinations.html,index,"Filmmaker's Location Guides , Carl Tomich",True
dji-mini-3-pro-review.html,https://www.carltravels.com/dji-mini-3-pro-review.html,index,DJI Mini 3 Pro Review: More Than Just a Drone - Carl Travels,True
donate.html,https://www.carltravels.com/donate.html,"noindex,follow",Support & Donate - Carl Travels,False
electro-voice-everse-8-review.html,https://www.carltravels.com/electro-voice-everse-8-review.html,"noindex,follow",Electro-Voice Everse 8 Review (2026): Busking & Gig Test | Carl Travels,False
farnorthqueenslandtravelguide.html,https://www.carltravels.com/farnorthqueenslandtravelguide.html,index,Far North Queensland Guide - Carl Travels,True
films/a-sail-untold.html,https://www.carltravels.com/films/a-sail-untold.html,"noindex,follow","A Sail Untold (2022) , Documentary Film by Carl Tomich",False
films/busk-life.html,https://www.carltravels.com/films/busk-life.html,"noindex,follow","Busk Life (2024) , Documentary Film by Carl Tomich",False
films/busking-for-berlin.html,https://www.carltravels.com/films/busking-for-berlin.html,"noindex,follow","Busking for Berlin (2014) , Documentary Film by Carl Tomich",False
films/martial-arts-documentary.html,https://www.carltravels.com/films/martial-arts-documentary.html,"noindex,follow","Martial Arts Documentary (2025-26) , In Production | Carl Tomich",False
finedininginhanoi.html,https://www.carltravels.com/finedininginhanoi.html,index,Khuê Restaurant Hanoi – The Best Fine Dining in Hanoi | Carl Travels,True
gear.html,https://www.carltravels.com/gear.html,index,"Filmmaker Tools & Gear , Carl Tomich",True
getyourwisecard.html,https://www.carltravels.com/getyourwisecard.html,index,Why Every Traveller Should Get a Wise Card - Carl Travels,True
grand-world-hanoi-guide.html,https://www.carltravels.com/grand-world-hanoi-guide.html,index,Grand World Hanoi Guide: Is It Worth the Trip? - Carl Travels,True
guide-to-sarande.html,https://www.carltravels.com/guide-to-sarande.html,"noindex,follow","Guide to Sarandë, Albania: Ksamil, Butrint, Corfu & Tirana - Carl Travels",False
ha-long-bay-travel-guide/index.html,https://www.carltravels.com/ha-long-bay-travel-guide/,index,"Ha Long Bay Travel Guide (2026): How to Go, Best Cruises, Costs & Itineraries",True
hanoi-by-night.html,https://www.carltravels.com/hanoi-by-night.html,index,Hanoi by Night – Cinematic Short Film | Carl Travels,True
hanoi-heatwave-best-pools-tay-ho-quang-an/index.html,https://www.carltravels.com/hanoi-heatwave-best-pools-tay-ho-quang-an/,index,How I Survived Hanoi's 40°C Heatwave: Best Pools in Tay Ho & Quang An | Carl Travels,True
hanoitravelguide.html,https://www.carltravels.com/hanoitravelguide.html,index,7-Day Hanoi Itinerary – Carl Travels: Street Eats & Ha Long Bay,True
hiroshima-travel-guide.html,https://www.carltravels.com/hiroshima-travel-guide.html,index,"Hiroshima Travel Guide – Shinkansen Journey, Peace Memorial & Miyajima Day Trip | Carl Travels",True
hon-chong-rocks-nha-trang.html,https://www.carltravels.com/hon-chong-rocks-nha-trang.html,index,Hon Chong Rocks – Nha Trang Coastal Escape | Carl Travels,True
how-to-get-croatian-citizenship-by-descent.html,https://www.carltravels.com/how-to-get-croatian-citizenship-by-descent.html,index,How to Get Croatian Citizenship by Descent (The Real 2025 Guide) - Carl Travels,True
how-to-get-croatian-citizenship-through-your-grandparent.html,https://www.carltravels.com/how-to-get-croatian-citizenship-through-your-grandparent.html,index,How I Applied for Croatian Citizenship by Descent Through My Grandfather - Carl Travels,True
how-to-get-to-sarande-from-athens-by-bus.html,https://www.carltravels.com/how-to-get-to-sarande-from-athens-by-bus.html,index,How to Get to Sarandë from Athens by Bus - Carl Travels,True
how-to-make-your-videos-look-cinematic.html,https://www.carltravels.com/how-to-make-your-videos-look-cinematic.html,index,Why I Use Dehancer to Make My Videos Look Cinematic (And How You Can Too) – Carl Travels,True
howtofoldapopuptent.html,https://www.carltravels.com/howtofoldapopuptent.html,index,Why Do Pop-Up Tents Pop Up… But Never Pop Down? - Carl Travels,True
howtomakemoneyonlinesellingstockfootage.html,https://www.carltravels.com/howtomakemoneyonlinesellingstockfootage.html,index,How to Earn Money on Adobe Stock and Shutterstock - Carl Travels,True
index.html,https://www.carltravels.com/,index,"Carl Tomich — Documentary Filmmaker, Travel Creator & Life Abroad Blog",True
japanonabudget.html,https://www.carltravels.com/japanonabudget.html,index,How to Visit Japan on a Budget (From Someone Who Actually Did It) - Carl Travels,True
korcula.html,https://www.carltravels.com/korcula.html,index,"Your Ultimate Guide to Visiting Korčula, Croatia - Carl Travels",True
kyototravelguide.html,https://www.carltravels.com/kyototravelguide.html,index,"Kyoto, Japan Travel Guide - Carl Travels",True
learning-vietnamese-after-living-in-vietnam.html,https://www.carltravels.com/learning-vietnamese-after-living-in-vietnam.html,index,Learning Vietnamese After Living In Vietnam For Almost A Year | Carl Travels,True
living-in-bangkok.html,https://www.carltravels.com/living-in-bangkok.html,index,"The $1,000 ""Live Like a King"" Myth in Bangkok (What It Actually Costs to Live Here) - Carl Travels",True
lotte-world-aquarium-hanoi.html,https://www.carltravels.com/lotte-world-aquarium-hanoi.html,index,Lotte World Aquarium Hanoi Review – Globe Travel Adventures,True
macbook-pro-m4-max-review.html,https://www.carltravels.com/macbook-pro-m4-max-review.html,index,MacBook Pro M4 Max Review (2025): A Video Editor's Dream Machine? | Carl Travels,True
make-money-online-while-traveling.html,https://www.carltravels.com/make-money-online-while-traveling.html,index,How I Make Money Online While Traveling (2025 Breakdown) - Carl Travels,True
melbournetravelguide.html,https://www.carltravels.com/melbournetravelguide.html,index,"Melbourne Travel Guide – Carl Travels: Your Ultimate Week in Laneways, Culture, and Coffee",True
muay-thai-thailand-koh-samui-guide.html,https://www.carltravels.com/muay-thai-thailand-koh-samui-guide.html,index,Where to Train Muay Thai in Thailand: Koh Samui at 39 | Carl Travels,True
mytop10travelhacks.html,https://www.carltravels.com/mytop10travelhacks.html,index,10 Powerful Budget Travel Hacks - Carl Travels,True
ninhbinhtravelguide.html,https://www.carltravels.com/ninhbinhtravelguide.html,index,"Ninh Bình Travel Guide 2025 – Tràng An, Tam Cốc & Múa Cave | Carl Travels",True
nusa-lembongan-travel-guide/index.html,https://www.carltravels.com/nusa-lembongan-travel-guide/,index,"Nusa Lembongan Travel Guide (2026): How to Get There, Costs, Where to Stay & What It’s Really Like",True
nusalembongan.html,https://www.carltravels.com/nusalembongan.html,"noindex,follow","Nusa Lembongan Travel Guide (2026): Costs, Ferries, Areas to Stay, and Mistakes | Carl Travels",False
old-quarter-scams-hanoi.html,https://www.carltravels.com/old-quarter-scams-hanoi.html,index,Old Quarter Scams in Hanoi: What to Watch For (and How to Avoid Them) | Carl Travels,True
one-day-in-hcmc-guide.html,https://www.carltravels.com/one-day-in-hcmc-guide.html,index,"One Day in Ho Chi Minh City (Saigon) – Markets, Skylines & Chaos | Carl Travels",True
osakatravelguide.html,https://www.carltravels.com/osakatravelguide.html,index,"Osaka Travel Guide – Carl Travels: Your Ultimate Week in Street Food, Culture, and Chaos",True
phuketravelguide.html,https://www.carltravels.com/phuketravelguide.html,index,"7-Day Phuket Itinerary – Carl Travels: Beaches, Nightlife & Island Adventures",True
phuquoctravelguide.html,https://www.carltravels.com/phuquoctravelguide.html,index,"Phu Quoc Travel Guide 2026 – Sunset Town, Cable Car & Where to Stay | Carl Travels",True
port-douglas-travel-guide/index.html,https://www.carltravels.com/port-douglas-travel-guide/,index,"Port Douglas Travel Guide (2026): Reef Tours, Daintree Day Trips, Costs & Best Things To Do | Carl Travels",True
portdouglas.html,https://www.carltravels.com/portdouglas.html,"noindex,follow",Port Douglas Uncovered: A Comprehensive Guide - Carl Travels,False
portfolio.html,https://www.carltravels.com/portfolio.html,"noindex,follow",Video Portfolio - Carl Travels,False
